timestamp,inflow,outflow,scenario,net_flow,cumulative_net_flow,intraday_position,buffer_available,buffer_usage_pct,warning_flag,breach_flag,time_since_start_min
2026-01-05 09:00:00,17675.60962869538,689003.9559919377,base_case,-671328.3463632422,-671328.3463632422,63328671.65363676,33328671.65363676,0.0197449513636246,False,False,0.0
2026-01-05 09:15:00,27564.664771589883,1030813.1047231044,base_case,-1003248.4399515144,-1674576.7863147566,62325423.213685244,32325423.213685244,0.0492522584210222,False,False,15.0
2026-01-05 09:30:00,52008.75498779042,1489589.9099876294,base_case,-1437581.154999839,-3112157.941314596,60887842.05868541,30887842.058685407,0.091534057097488,False,False,30.0
2026-01-05 09:45:00,80914.61765816968,1816014.554779516,base_case,-1735099.937121346,-4847257.878435941,59152742.12156406,29152742.12156406,0.1425664081892923,False,False,45.0
2026-01-05 10:00:00,106193.48992695165,2254360.2841613563,base_case,-2148166.794234405,-6995424.672670346,57004575.32732965,27004575.32732965,0.2057477844903044,False,False,60.0
2026-01-05 10:15:00,212822.0189569037,3031819.431692188,base_case,-2818997.4127352843,-9814422.08540563,54185577.91459437,24185577.914594367,0.2886594731001657,False,False,75.0
2026-01-05 10:30:00,301134.8845302066,3213656.295194483,base_case,-2912521.410664276,-12726943.496069904,51273056.50393009,21273056.50393009,0.3743218675314679,False,False,90.0
2026-01-05 10:45:00,442747.3889304687,4016846.5915224953,base_case,-3574099.2025920264,-16301042.69866193,47698957.30133807,17698957.30133807,0.4794424323135862,False,False,105.0
2026-01-05 11:00:00,515380.416543588,3907052.342883204,base_case,-3391671.926339616,-19692714.625001542,44307285.37499845,14307285.37499845,0.5791974889706338,False,False,120.0
2026-01-05 11:15:00,792678.4378146831,4364386.741415998,base_case,-3571708.303601315,-23264422.92860286,40735577.07139714,10735577.07139714,0.6842477331942017,True,False,135.0
2026-01-05 11:30:00,1046886.1305806912,4024735.047034513,base_case,-2977848.916453822,-26242271.845056683,37757728.15494332,7757728.154943317,0.7718315248546084,True,False,150.0
2026-01-05 11:45:00,1623989.5244990273,3309489.702983181,base_case,-1685500.1784841542,-27927772.02354084,36072227.97645916,6072227.97645916,0.821405059515907,True,False,165.0
2026-01-05 12:00:00,1940588.994529585,3467262.481217389,base_case,-1526673.4866878046,-29454445.51022864,34545554.48977136,4545554.489771359,0.8663072208890776,True,False,180.0
2026-01-05 12:15:00,2579325.375527112,3045293.769870807,base_case,-465968.3943436956,-29920413.904572334,34079586.09542766,4079586.095427662,0.8800121736638923,True,False,195.0
2026-01-05 12:30:00,2860273.0783647853,2380607.9954690463,base_case,479665.082895739,-29440748.8216766,34559251.1783234,4559251.178323403,0.8659043771081352,True,False,210.0
2026-01-05 12:45:00,3235818.920000257,2061838.0893777828,base_case,1173980.830622475,-28266767.99105412,35733232.00894588,5733232.008945882,0.8313755291486505,True,False,225.0
2026-01-05 13:00:00,4245181.027475541,2122575.947413402,base_case,2122605.08006214,-26144162.91099198,37855837.08900802,7855837.089008018,0.7689459679703524,True,False,240.0
